                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2675,                 2.2129,                 1.2735,                0.89878,                0.94418,                0.97193,                0.74496,                 1.0148,                0.74175,                 1.1785,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.0533,                0.89863,                 1.1484,                 0.8365,                0.86807,                 0.9112,                0.63929,                 1.1729,                 1.3601,                 1.3163,             0.00080866,             0.00080866,             0.00080866
                      3,                 1.0787,                0.80901,                 1.1703,                0.70648,                0.97611,                0.91781,                0.67223,                 1.1031,                0.99907,                 1.2385,              0.0011925,              0.0011925,              0.0011925
                      4,                 1.0215,                0.71783,                 1.1304,                0.88303,                0.97125,                0.97581,                0.74906,                0.99113,                0.67094,                 1.1732,              0.0011757,              0.0011757,              0.0011757
                      5,                0.99198,                 0.6781,                 1.1172,                0.92477,                0.93459,                0.96985,                0.74609,                0.99409,                0.62506,                 1.1821,              0.0011757,              0.0011757,              0.0011757
                      6,                0.96776,                0.61958,                 1.1091,                0.96535,                0.96101,                0.98931,                0.78459,                0.94692,                0.53766,                 1.1221,               0.001151,               0.001151,               0.001151
                      7,                0.94939,                0.59457,                 1.0858,                0.86909,                0.98159,                0.91111,                0.71556,                0.97545,                0.69669,                 1.1507,              0.0011263,              0.0011263,              0.0011263
                      8,                0.93845,                0.59019,                 1.0878,                0.97991,                0.97753,                0.98956,                0.79574,                0.92414,                0.47331,                 1.1139,              0.0011015,              0.0011015,              0.0011015
                      9,                 0.9272,                0.58719,                 1.0779,                0.97762,                0.95876,                0.98234,                0.78776,                 0.9279,                0.53551,                 1.1098,              0.0010768,              0.0010768,              0.0010768
                     10,                0.90845,                0.55022,                 1.0631,                0.98002,                0.98487,                0.99122,                 0.7924,                 0.9546,                0.47458,                 1.1292,               0.001052,               0.001052,               0.001052
                     11,                0.90614,                0.52786,                 1.0656,                0.96548,                0.98175,                0.97663,                0.79445,                0.92221,                0.47554,                 1.1011,              0.0010273,              0.0010273,              0.0010273
                     12,                0.89767,                 0.5295,                 1.0582,                0.96971,                0.95288,                0.98977,                0.80462,                 0.9145,                0.46517,                 1.0969,              0.0010025,              0.0010025,              0.0010025
                     13,                0.91027,                0.53289,                 1.0632,                0.98182,                0.97826,                0.98988,                0.80323,                 0.9012,                0.44737,                 1.0889,             0.00097775,             0.00097775,             0.00097775
                     14,                0.87181,                0.49927,                 1.0473,                0.92427,                0.96301,                0.99113,                0.79397,                0.95872,                0.49954,                 1.1297,               0.000953,               0.000953,               0.000953
                     15,                0.89746,                 0.5079,                 1.0615,                0.98551,                0.96725,                0.99205,                0.80389,                0.91756,                0.45864,                 1.0994,             0.00092825,             0.00092825,             0.00092825
                     16,                0.88193,                0.48601,                 1.0502,                0.96987,                0.97319,                0.99225,                0.80435,                 0.9246,                0.45577,                 1.0957,              0.0009035,              0.0009035,              0.0009035
                     17,                0.86667,                0.48216,                 1.0414,                0.98007,                0.98911,                0.98843,                0.81261,                 0.8953,                0.44009,                 1.0812,             0.00087875,             0.00087875,             0.00087875
                     18,                0.86533,                0.47306,                 1.0407,                0.98016,                  0.982,                0.99239,                0.81198,                0.90639,                0.41696,                 1.0897,               0.000854,               0.000854,               0.000854
