                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6054,                0.28497,                 0.9399,                0.99385,                0.99571,                  0.995,                0.87958,                0.67066,                 0.2897,                0.95078,             0.00041005,             0.00041005,             0.00041005
                      2,                0.63853,                0.32012,                0.95172,                0.99541,                0.99287,                0.99475,                0.85286,                0.73306,                0.34066,                0.97905,             0.00081503,             0.00081503,             0.00081503
                      3,                0.70262,                0.36704,                0.98733,                0.98671,                0.99543,                0.99465,                0.85726,                0.72139,                0.34334,                0.97809,              0.0012082,              0.0012082,              0.0012082
                      4,                0.70073,                0.35895,                0.98864,                0.98248,                0.99822,                0.99431,                0.83445,                0.80698,                0.37322,                 1.0301,               0.001197,               0.001197,               0.001197
                      5,                0.70464,                0.37043,                0.99077,                0.99119,                0.99458,                0.99478,                0.84714,                0.77209,                0.34334,                 1.0082,               0.001197,               0.001197,               0.001197
                      6,                0.71794,                 0.3747,                  0.996,                0.95782,                0.98897,                0.99016,                 0.8363,                0.79817,                0.38082,                  1.028,              0.0011793,              0.0011793,              0.0011793
                      7,                0.69422,                0.36199,                0.99101,                0.68213,                0.72989,                 0.7158,                0.54035,                 1.1786,                  1.062,                 1.2934,              0.0011616,              0.0011616,              0.0011616
                      8,                0.71133,                0.36326,                0.98793,                0.99008,                0.99527,                0.99436,                0.85662,                0.73488,                0.32826,                0.98689,              0.0011439,              0.0011439,              0.0011439
                      9,                0.69358,                0.36265,                0.99168,                0.98473,                0.98748,                0.99236,                0.84647,                0.76403,                0.35592,                 1.0028,              0.0011263,              0.0011263,              0.0011263
                     10,                0.68838,                0.35665,                0.97759,                0.99169,                 0.9977,                 0.9947,                0.86543,                0.73216,                0.32956,                0.98395,              0.0011086,              0.0011086,              0.0011086
                     11,                0.70193,                0.35708,                0.98755,                0.99281,                0.99414,                0.99466,                0.85946,                0.73716,                0.32909,                0.98338,              0.0010909,              0.0010909,              0.0010909
                     12,                0.69195,                0.35748,                0.98154,                0.99677,                0.99129,                0.99487,                0.85484,                0.73468,                0.32923,                 0.9848,              0.0010732,              0.0010732,              0.0010732
                     13,                0.68645,                0.35385,                0.98521,                0.99353,                0.99394,                0.99499,                0.86354,                0.72509,                0.34043,                 0.9787,              0.0010555,              0.0010555,              0.0010555
                     14,                0.69931,                0.34923,                0.98879,                0.98829,                0.98601,                0.99452,                0.83696,                0.78682,                0.36108,                 1.0159,              0.0010379,              0.0010379,              0.0010379
                     15,                0.67629,                0.34105,                0.98425,                0.99538,                0.99607,                0.99421,                  0.863,                0.74076,                0.32121,                0.98969,              0.0010202,              0.0010202,              0.0010202
                     16,                0.66644,                0.33713,                0.96476,                0.99469,                0.99872,                0.99475,                0.87078,                0.71404,                0.31016,                0.97907,              0.0010025,              0.0010025,              0.0010025
                     17,                0.66815,                0.34742,                0.97616,                0.99596,                0.99655,                0.99489,                0.87549,                0.67994,                0.30703,                0.96061,             0.00098482,             0.00098482,             0.00098482
                     18,                0.67176,                0.34342,                0.97419,                0.99668,                 0.9957,                0.99471,                0.87183,                0.68639,                0.29838,                0.96119,             0.00096714,             0.00096714,             0.00096714
                     19,                0.64682,                0.33196,                0.96117,                0.99142,                0.99714,                0.99493,                0.87803,                0.66519,                0.30232,                0.94801,             0.00094946,             0.00094946,             0.00094946
                     20,                0.65375,                0.32683,                 0.9702,                0.99243,                0.99667,                0.99488,                0.85938,                 0.7241,                0.31455,                0.98164,             0.00093179,             0.00093179,             0.00093179
                     21,                0.64539,                0.32975,                0.95774,                0.99281,                0.99918,                0.99499,                0.87673,                0.64752,                0.29584,                 0.9409,             0.00091411,             0.00091411,             0.00091411
                     22,                0.65741,                0.33442,                0.96806,                0.99249,                0.99613,                0.99495,                0.87334,                0.68011,                0.30041,                0.95868,             0.00089643,             0.00089643,             0.00089643
